"AP Number","Sex","Education Level","Award Type 01","Award Type 02","Award Type 03","Award Type 04","Award Type 05","Award Type 06","Award Type 07","Award Type 08","AI Street Address 1","AI Street Address 2","AI Street Address 3","AI State","AI Zip Code","Race","AI Code","AI Institution Name","RACE_ETH_","DISTRICT NAME","Exam Code 01","Exam Grade 01","Admin Year 01","Award Year 01","Exam Code 02","Exam Grade 02","Admin Year 02","Award Year 02","Exam Code 03","Exam Grade 03","Admin Year 03","Award Year 03","Exam Code 04","Exam Grade 04","Admin Year 04","Award Year 04","Exam Code 05","Exam Grade 05","Admin Year 05","Award Year 05","Exam Code 06","Exam Grade 06","Admin Year 06","Award Year 06","Exam Code 07","Exam Grade 07","Admin Year 07","Award Year 07","Exam Code 08","Exam Grade 08","Admin Year 08","Award Year 08"
"4949","F","6","None",NA,NA,NA,NA,NA,NA,NA,"6045 Buffington Road",NA,"Atlanta","GA",30349,"WHITE","14","Hapeville Career Academy","WHITE","AIUR","87",1,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1361","M","6","None","None",NA,NA,NA,NA,NA,NA,"86 School Drive",NA,"Alpharetta","GA",30009,"ASIAN","05","Independence High School","ASIAN","AIUR","07",3,10,10,"07",4,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0069","M","6","None",NA,NA,NA,NA,NA,NA,NA,"6045 Buffington Road",NA,"Atlanta","GA",30349,"AFRICANAMERICAN","14","Hapeville Career Academy","AFRICANAMERICAN","AIUR","36",3,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4421","M","6","None",NA,NA,NA,NA,NA,NA,NA,"12805 Birmingham Highway",NA,"Alpharetta","GA",30004,"WHITE","11","Northwestern Middle School","WHITE","AIUR","07",4,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0359","F","6","None",NA,NA,NA,NA,NA,NA,NA,"11595 King Road",NA,"Roswell","GA",30075,"WHITE","03","Roswell High School","WHITE","AIUR","57",1,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3596","M","6","None",NA,NA,NA,NA,NA,NA,NA,"10795 Rogers Circle",NA,"Duluth","GA",30097,"WHITE","20","River Trail Middle School","WHITE","AIUR","85",1,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1545","M","6","None",NA,NA,NA,NA,NA,NA,NA,"2400 Union Road Southwest",NA,"Atlanta","GA",30331,"WHITE","01","Westlake High School","WHITE","AIUR","40",1,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2726","M","6","None",NA,NA,NA,NA,NA,NA,NA,"11595 King Road",NA,"Roswell","GA",30075,"WHITE","03","Roswell High School","WHITE","AIUR","31",4,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1373","M","6","None",NA,NA,NA,NA,NA,NA,NA,"2575 Harris Street",NA,"East Point","GA",30344,"AFRICANAMERICAN","21","Tri-Cities High School","AFRICANAMERICAN","AIUR","43",3,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4708","F","6","None",NA,NA,NA,NA,NA,NA,NA,"7510 Hall Road",NA,"Fairburn","GA",30213,"WHITE","13","Langston Hughes High School","WHITE","AIUR","87",2,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1837","M","6","None",NA,NA,NA,NA,NA,NA,NA,"2400 Union Road Southwest",NA,"Atlanta","GA",30331,"WHITE","01","Westlake High School","WHITE","AIUR","53",5,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4700","M","6","None",NA,NA,NA,NA,NA,NA,NA,"86 School Drive",NA,"Alpharetta","GA",30009,"NON_HISP_LAT","05","Independence High School","NON_HISP_LAT","AIUR","14",5,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
